id,path,title,item_type,mime_type,size_bytes,modified_time,parent_id,url,inspection_status
"1nllzQ1SskJYKo1Qj5uviGaz1fkySjR2y","/2026/Assessment Information","Assessment Information","folder","application/vnd.google-apps.folder","","2026-01-28T00:15:50.719Z","1J3WBZpddqQRSbtAyL3Xyu-tqAvhCLjjE","https://drive.google.com/drive/folders/1nllzQ1SskJYKo1Qj5uviGaz1fkySjR2y","listed"
"1j1KlnSlMf32sB-YXbE1dtkzhQ0iYI1w0","/2026/Assessment Information/Assessment Notifications","Assessment Notifications","folder","application/vnd.google-apps.folder","","2026-01-28T00:16:19.036Z","1nllzQ1SskJYKo1Qj5uviGaz1fkySjR2y","https://drive.google.com/drive/folders/1j1KlnSlMf32sB-YXbE1dtkzhQ0iYI1w0","listed"
"14Iqyd7r58sLm9w7c-RATEodDH85JN23voWexVanq2iw","/2026/Assessment Information/Assessment Notifications/2026 Assessment Notification. Task 1 - Topic Test ","2026 Assessment Notification. Task 1 - Topic Test ","file","application/vnd.google-apps.document","10586","2026-01-28T00:39:16.799Z","1j1KlnSlMf32sB-YXbE1dtkzhQ0iYI1w0","https://docs.google.com/document/d/14Iqyd7r58sLm9w7c-RATEodDH85JN23voWexVanq2iw/edit?usp=drivesdk","content_read"
"1IsatA40afNH9qgy6AvuQevEdf7WH_NYPuRT0fB2xTlo","/2026/Assessment Information/Assessment Notifications/2026 Assessment Notification. Task 2 - Plant Collection + Research Task","2026 Assessment Notification. Task 2 - Plant Collection + Research Task","file","application/vnd.google-apps.document","10802","2026-01-28T00:40:09.645Z","1j1KlnSlMf32sB-YXbE1dtkzhQ0iYI1w0","https://docs.google.com/document/d/1IsatA40afNH9qgy6AvuQevEdf7WH_NYPuRT0fB2xTlo/edit?usp=drivesdk","content_read"
"1JxxXu0CiWvPGCUdtl7YUK5JrQLgw5k_COsVPJU3YBAk","/2026/Assessment Information/Assessment Notifications/2026 Assessment Notification. Task 3 - Prime Lamb Production Report + Handling Skills","2026 Assessment Notification. Task 3 - Prime Lamb Production Report + Handling Skills","file","application/vnd.google-apps.document","11080","2026-01-28T00:40:45.792Z","1j1KlnSlMf32sB-YXbE1dtkzhQ0iYI1w0","https://docs.google.com/document/d/1JxxXu0CiWvPGCUdtl7YUK5JrQLgw5k_COsVPJU3YBAk/edit?usp=drivesdk","content_read"
"1N5yWwZaQS8wtfPPbl2EFzo6-BQZDIF5rSo7A9Nlho_g","/2026/Assessment Information/Assessment Notifications/Assessment Task 1 Notification","Assessment Task 1 Notification","file","application/vnd.google-apps.form","1024","2026-01-28T00:34:58.668Z","1j1KlnSlMf32sB-YXbE1dtkzhQ0iYI1w0","https://docs.google.com/forms/d/1N5yWwZaQS8wtfPPbl2EFzo6-BQZDIF5rSo7A9Nlho_g/edit?usp=drivesdk","content_read_in_browser"
"1WZxufYCI3czWo_PeVm8Cb_gYQvoZaeFjpYKtmw2JAHM","/2026/Assessment Information/Assessment Notifications/Assessment Task 2 Notification","Assessment Task 2 Notification","file","application/vnd.google-apps.form","1024","2026-01-28T00:31:53.769Z","1j1KlnSlMf32sB-YXbE1dtkzhQ0iYI1w0","https://docs.google.com/forms/d/1WZxufYCI3czWo_PeVm8Cb_gYQvoZaeFjpYKtmw2JAHM/edit?usp=drivesdk","content_read_in_browser"
"1pNeZ1EiDtppDjjfQ-dANCmOY7xTgL0qwI1-Y1vfwntY","/2026/Assessment Information/Assessment Notifications/Assessment Task 3 Notification","Assessment Task 3 Notification","file","application/vnd.google-apps.form","1024","2026-01-28T00:35:11.163Z","1j1KlnSlMf32sB-YXbE1dtkzhQ0iYI1w0","https://docs.google.com/forms/d/1pNeZ1EiDtppDjjfQ-dANCmOY7xTgL0qwI1-Y1vfwntY/edit?usp=drivesdk","content_read_in_browser"
"1N1Gy769_oMn6n9ZHgQoWI84SHKUzGpal","/2026/Assessment Information/Assessment Tasks","Assessment Tasks","folder","application/vnd.google-apps.folder","","2026-01-28T00:16:25.948Z","1nllzQ1SskJYKo1Qj5uviGaz1fkySjR2y","https://drive.google.com/drive/folders/1N1Gy769_oMn6n9ZHgQoWI84SHKUzGpal","listed"
"1W_VYMNQNb_ep5LqKlHthyPOwSp92EL9l","/2026/Assessment Information/Assessment Tasks/Assessment Task 1 - Topic Test","Assessment Task 1 - Topic Test","folder","application/vnd.google-apps.folder","","2026-01-28T00:42:48.556Z","1N1Gy769_oMn6n9ZHgQoWI84SHKUzGpal","https://drive.google.com/drive/folders/1W_VYMNQNb_ep5LqKlHthyPOwSp92EL9l","listed"
"CONTROLLED-ASSESSMENT-1","/2026/[controlled Task 1 assessment material omitted from public release]","Controlled assessment material inspected; title and identifier not published","file","controlled","","","","","content_read_not_published"
"CONTROLLED-ASSESSMENT-2","/2026/[controlled Task 1 assessment material omitted from public release]","Controlled assessment material inspected; title and identifier not published","file","controlled","","","","","content_read_not_published"
"1N08y3KIAx2QtC1oBuf9nYcgi6HuTzsFb","/2026/Assessment Information/Assessment Tasks/Assessment Task 1 - Topic Test/Topic Test Revision.docx","Topic Test Revision.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","9391","2026-01-28T00:44:30.000Z","1W_VYMNQNb_ep5LqKlHthyPOwSp92EL9l","https://docs.google.com/document/d/1N08y3KIAx2QtC1oBuf9nYcgi6HuTzsFb/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1HTjlYLNQ7YYVsXqdUuyd44WxafSz7GFK","/2026/Assessment Information/Assessment Tasks/Assessment Task 1 - Topic Test/Topic Test Revision.pptx","Topic Test Revision.pptx","file","application/vnd.openxmlformats-officedocument.presentationml.presentation","403167","2026-01-28T00:44:28.000Z","1W_VYMNQNb_ep5LqKlHthyPOwSp92EL9l","https://docs.google.com/presentation/d/1HTjlYLNQ7YYVsXqdUuyd44WxafSz7GFK/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1GZS5jDFLAFwhYtZIUegpD44vvyRwzGkm","/2026/Assessment Information/Assessment Tasks/Assessment Task 2 - Plant Collection + Research Task","Assessment Task 2 - Plant Collection + Research Task","folder","application/vnd.google-apps.folder","","2026-01-28T00:42:55.301Z","1N1Gy769_oMn6n9ZHgQoWI84SHKUzGpal","https://drive.google.com/drive/folders/1GZS5jDFLAFwhYtZIUegpD44vvyRwzGkm","listed"
